SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Saratoga Sale (2021),,39,GRR,F,GOOD MAGIC,ANGELO'S ASHES,EXCHANGE RATE,BEDOUIN BLOODSTOCK AGENT I,,,,01/24/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,40,B,C,UNCLE MO,A PLACE TO SHINE,TALE OF EKATI,BUCKLAND SALES (ZACH MADDEN) AGENT I,,,,02/16/2020,KENTUCKY,10,,,
The Saratoga Sale (2021),,41,B,C,JUSTIFY,APPEALING ZOPHIE,SUCCESSFUL APPEAL,EATON SALES AGENT,,,,04/20/2020,KENTUCKY,9,,,
The Saratoga Sale (2021),,42,B,F,NYQUIST,ART TEACHER,MASTER COMMAND,ST GEORGE SALES AGENT II,,,,02/20/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,43,B,F,MENDELSSOHN,AUCTION (IRE),MR. GREELEY,HUNTER VALLEY FARM AGENT,,,,04/02/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,44,DKB,C,ARROGATE,BALLET DRESS,HARD SPUN,MULHOLLAND SPRINGS AGENT IV,,,,02/12/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,45,CH,C,JUSTIFY,BAR OF GOLD,MEDAGLIA D'ORO,SEQUEL NEW YORK AGENT FOR CHESTER & MARY BROMAN,,,,02/23/2020,NEW YORK,4,,,
The Saratoga Sale (2021),,46,B,C,STREET SENSE,BELLA TRAVIATA,INDIAN CHARLIE,PARAMOUNT SALES AGENT XI,,,,03/18/2020,PENNSYLVANIA,1,,,
The Saratoga Sale (2021),,47,B,C,AMERICAN PHAROAH,RANDIE'S LEGEND,BENCHMARK,BALLYSAX BLOODSTOCK AGENT FOR HNR NOTHHAFT HORSE RACING LLC,,,,05/03/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,48,B,C,PIONEEROF THE NILE,BE MY PROSPECT,FOREST WILDCAT,EATON SALES AGENT,,,,02/07/2020,KENTUCKY,9,,,
